custcode,Año,Trimestre,Mes,Día,Tipo_Cliente,Total abono,declinecause,saldo,Baja
463774,2016,Trim. 2,abril,18,Residencial,299.17,CIERR,724,1
463776,2017,Trim. 1,enero,26,Residencial,398.35,CIERR,925.44,1
463779,2017,Trim. 3,septiembre,12,Residencial,1262.03,CIERR,2825.24,1
463782,2019,Trim. 1,enero,7,Residencial,785.07,CIERR,0,1
463783,2016,Trim. 1,febrero,15,Residencial,413.22,CIERR,506.09,1
463790,2015,Trim. 3,julio,16,Residencial,325.34,REFOR,-4957,1
463796,2018,Trim. 1,febrero,3,Residencial,0,CAMBI,644.64,0
463797,2017,Trim. 2,mayo,11,Residencial,0,CAMBI,654.44,0
463807,2017,Trim. 3,septiembre,29,Residencial,512.83,CIERR,620.52,1
463808,2016,Trim. 2,junio,15,Residencial,0,DISCO,-78.58,0
463808,2016,Trim. 3,septiembre,16,Residencial,0,PROEC,-45.39,0
463808,2018,Trim. 2,junio,13,Residencial,0,PROEC,926.17,0
463812,2018,Trim. 3,agosto,27,Residencial,594.03,CIERR,0,1
463814,2016,Trim. 1,febrero,15,Residencial,343.05,CIERR,3476.39,1
463815,2018,Trim. 1,enero,4,Residencial,669.08,INCOB,2532.95,1
463816,2017,Trim. 2,junio,23,Residencial,474.15,CIERR,1591,1
463823,2018,Trim. 2,mayo,21,Residencial,709.22,MUDAN,0,1
463824,2019,Trim. 1,marzo,19,Residencial,1078.79,CIERR,0,1
463824,2015,Trim. 4,octubre,22,Residencial,0,DISCO,0,0
463826,2018,Trim. 2,mayo,23,Residencial,602.65,CIERR,0,1
463827,2016,Trim. 3,septiembre,16,Residencial,0,RAZON,0,0
463834,2017,Trim. 1,enero,23,Residencial,0,CIERR,0,0
463837,2016,Trim. 3,septiembre,9,Residencial,0,CIERR,0,0
463837,2018,Trim. 2,mayo,10,Residencial,398.35,CIERR,0,1
463839,2017,Trim. 1,febrero,21,Residencial,530,CAMEM,0,1
463840,2019,Trim. 3,septiembre,13,Residencial,855.38,INCOB,2709.7,1
463843,2015,Trim. 3,septiembre,22,Residencial,0,CIERR,362,0
463847,2018,Trim. 2,mayo,11,Residencial,594.03,MUDAN,0,1
463857,2018,Trim. 2,abril,20,Residencial,532.76,CAMEM,0,1
463857,2017,Trim. 3,julio,26,Residencial,0,DISCO,-1025.11,0
463863,2016,Trim. 2,junio,28,Residencial,0,RAZON,0,0
463866,2015,Trim. 4,octubre,13,Residencial,1195.05,MUDAN,1571.31,1
463868,2019,Trim. 3,julio,1,Residencial,0,CAMBI,0,0
463868,2019,Trim. 2,abril,5,Residencial,0,CIERR,0,0
463870,2019,Trim. 3,julio,11,Residencial,1207,CIERR,0,1
463871,2018,Trim. 3,agosto,1,Residencial,0,RAZON,752.47,0
463872,2019,Trim. 2,junio,28,Residencial,0,CAMBI,0,0
463876,2016,Trim. 3,agosto,2,Residencial,0,CAMBI,-33.88,0
463878,2017,Trim. 2,mayo,16,Residencial,631.21,CIERR,0,1
463878,2017,Trim. 1,febrero,16,Residencial,0,NOUSA,0,0
463879,2017,Trim. 2,junio,8,Residencial,0,RAZON,0,0
463881,2016,Trim. 1,enero,4,Residencial,299.17,INCOB,1725.86,1
463885,2016,Trim. 4,diciembre,28,Residencial,0,RAZON,1679.03,0
463888,2016,Trim. 3,septiembre,1,Residencial,0,RAZON,1221.68,0
463889,2018,Trim. 1,febrero,2,Residencial,502.6,INCOB,2184.86,1
463893,2015,Trim. 3,septiembre,11,Residencial,0,RAZON,0,0
463894,2016,Trim. 2,abril,14,Residencial,299.17,MUDAN,362,1
463896,2017,Trim. 1,marzo,14,Residencial,534.92,CIERR,0,1
463898,2018,Trim. 4,octubre,10,Residencial,398.35,CIERR,0,1
463905,2019,Trim. 4,octubre,16,Residencial,1364.67,CIERR,0,1
463906,2016,Trim. 2,abril,20,Residencial,0,RAZON,826.51,0
463911,2018,Trim. 3,julio,20,Residencial,338.52000000000004,INCOB,0,1
463923,2016,Trim. 2,abril,25,Residencial,0,DISCO,1049.5,0
463923,2016,Trim. 2,junio,13,Residencial,421.49,DISCO,0,1
463942,2016,Trim. 4,octubre,18,Residencial,365.29,CAMEM,0,1
463943,2018,Trim. 3,agosto,29,Residencial,0,DISCO,0,0
463943,2019,Trim. 3,julio,19,Residencial,0,PROEC,0,0
463950,2015,Trim. 4,noviembre,26,Residencial,363,INCOB,878.46,1
463951,2016,Trim. 1,marzo,22,Residencial,353.72,CIERR,0,1
463952,2017,Trim. 2,abril,3,Residencial,398.35,DISCO,0,1
463960,2016,Trim. 3,julio,23,Residencial,398.35,CIERR,0,1
463964,2019,Trim. 4,octubre,21,Residencial,1235,CIERR,0,1
463971,2016,Trim. 2,mayo,27,Residencial,406.86,DISCO,0,1
463974,2017,Trim. 3,julio,28,Residencial,0,CAMBI,0,0
463975,2017,Trim. 3,julio,28,Residencial,0,CAMBI,0,0
463976,2016,Trim. 2,junio,1,Residencial,0,DISCO,0,0
463976,2019,Trim. 2,abril,16,Residencial,0,DISCO,0,0
463988,2018,Trim. 1,enero,8,Residencial,669.08,MUDAN,0,1
463989,2016,Trim. 4,octubre,12,Residencial,0,RAZON,1374.63,0
463995,2019,Trim. 2,mayo,13,Residencial,808,CAMEM,1001.92,1
464000,2017,Trim. 2,abril,3,Residencial,571.07,DISCO,0,1
464017,2016,Trim. 1,marzo,15,Residencial,257.02,CIERR,2775.64,1
464018,2016,Trim. 1,marzo,22,Residencial,257.02,CIERR,349.75,1
464024,2015,Trim. 3,agosto,24,Residencial,0,DISCO,-200,0
464024,2018,Trim. 4,diciembre,3,Residencial,886.67,NOUSA,2145.74,1
464035,2016,Trim. 1,marzo,12,Residencial,299.17,CAMEM,0,1
464036,2018,Trim. 2,junio,18,Residencial,1389.62,MUDAN,0,1
464037,2016,Trim. 1,marzo,22,Residencial,,CAMEM,0,1
464040,2018,Trim. 3,julio,20,Residencial,0,INCOB,1427.33,0
464044,2018,Trim. 1,marzo,19,Residencial,679.8,CIERR,0,1
464046,2016,Trim. 3,septiembre,8,Residencial,365.29,CIERR,0,1
464053,2016,Trim. 3,julio,26,Residencial,273.97,CIERR,603,1
464053,2016,Trim. 1,enero,4,Residencial,0,INCOB,0,0
464055,2019,Trim. 3,septiembre,16,Residencial,486.29,INCOB,1176.82,1
464069,2015,Trim. 4,octubre,6,Residencial,0,RAZON,1030.8,0
464070,2015,Trim. 4,octubre,6,Residencial,0,RAZON,347.73,0
464082,2018,Trim. 1,enero,8,Residencial,1603.3,DISCO,0,1
464085,2018,Trim. 3,julio,20,Residencial,481.82,INCOB,1166,1
464090,2017,Trim. 4,diciembre,5,Residencial,502.6,MUDAN,0,1
464093,2017,Trim. 3,septiembre,20,Residencial,0,CAMEM,0,0
464094,2017,Trim. 3,septiembre,4,Residencial,0,NOUSA,0,0
