custcode,Año,Trimestre,Mes,Día,Tipo_Cliente,Total abono,declinecause,saldo,Baja
462265,2019,Trim. 3,julio,30,Residencial,520.27,INCOB,1942.29,1
462269,2014,Trim. 4,octubre,20,Residencial,,DISCO,0,1
462277,2017,Trim. 2,junio,13,Residencial,614.67,MUDAN,774.48,1
462277,2017,Trim. 2,mayo,24,Residencial,0,PROEC,0,0
462278,2016,Trim. 2,junio,24,Residencial,0,NOUSA,0,0
462282,2015,Trim. 4,noviembre,12,Residencial,0,CAMBI,-30.89,0
462287,2019,Trim. 3,agosto,3,Residencial,520.91,INCOB,1890.9,1
462298,2018,Trim. 2,mayo,24,Residencial,584.58,CAMEM,0,1
462298,2018,Trim. 2,abril,3,Residencial,0,DISCO,0,0
462301,2018,Trim. 2,abril,3,Residencial,0,DISCO,0,0
462301,2018,Trim. 2,mayo,24,Residencial,565.29,DISCO,0,1
